from,to,proximity
2707,7407,0.551724137931035
7222,7415,0.647058823529412
7107,7506,0.625
7221,7507,0.615384615384615
7505,7507,0.692307692307692
7204,7602,0.691588785046729
7404,7602,0.787037037037037
3922,7604,0.55
4822,7604,0.575
7308,7604,0.558139534883721
5910,7607,0.55
6804,7607,0.6
2940,7609,0.625
1601,7610,0.568181818181818
3925,7610,0.558139534883721
4819,7610,0.581818181818182
4821,7610,0.551020408163265
7308,7610,0.651162790697675
7326,7610,0.581395348837209
7604,7610,0.558139534883721
4822,7612,0.558139534883721
7007,7616,0.551724137931035
7008,7616,0.551724137931035
7326,7616,0.594594594594595
7506,8109,0.571428571428571
5910,8207,0.55
6804,8207,0.65
5910,8208,0.619047619047619
8207,8208,0.571428571428571
8213,8214,0.571428571428571
3925,8309,0.578947368421053
3922,8403,0.580645161290323
8402,8404,0.565217391304348
4010,8413,0.592592592592593
8412,8413,0.551724137931035
5911,8414,0.571428571428571
8303,8414,0.565217391304348
8208,8416,0.571428571428571
5910,8417,0.611111111111111
8416,8417,0.631578947368421
4008,8418,0.571428571428571
4016,8419,0.5625
5911,8419,0.580645161290323
8413,8419,0.580645161290323
8208,8422,0.565217391304348
8416,8422,0.565217391304348
8419,8424,0.580645161290323
3816,8428,0.571428571428571
3926,8428,0.571428571428571
7326,8431,0.560975609756098
7610,8431,0.558139534883721
3820,8432,0.642857142857143
3922,8432,0.580645161290323
3926,8432,0.571428571428571
4008,8432,0.607142857142857
6806,8432,0.566666666666667
7322,8432,0.571428571428571
8416,8432,0.571428571428571
8422,8432,0.571428571428571
8428,8432,0.607142857142857
3820,8433,0.586206896551724
3926,8433,0.586206896551724
7008,8433,0.551724137931035
8432,8433,0.689655172413793
8422,8434,0.576923076923077
8424,8434,0.586206896551724
3820,8436,0.555555555555556
8422,8436,0.56
8433,8436,0.551724137931035
8403,8438,0.551724137931035
8422,8438,0.551724137931035
5910,8439,0.555555555555556
2912,8441,0.5625
7616,8442,0.586206896551724
2919,8444,0.571428571428571
2913,8445,0.625
2919,8445,0.625
8444,8449,0.571428571428571
7607,8451,0.55
5910,8454,0.555555555555556
8417,8454,0.555555555555556
7607,8455,0.55
5910,8456,0.555555555555556
7318,8456,0.55
8420,8456,0.5625
8456,8457,0.642857142857143
8456,8458,0.571428571428571
8457,8458,0.615384615384615
7318,8461,0.55
8207,8462,0.571428571428571
5910,8463,0.555555555555556
7222,8463,0.588235294117647
7229,8463,0.5625
7607,8463,0.55
8441,8463,0.625
8455,8463,0.625
8456,8463,0.5625
8460,8463,0.625
5910,8464,0.65
6804,8464,0.7
7222,8464,0.55
7412,8464,0.55
7607,8464,0.6
8207,8464,0.65
7412,8465,0.590909090909091
8422,8465,0.565217391304348
8464,8465,0.590909090909091
7220,8475,0.666666666666667
7229,8475,0.5625
8422,8476,0.666666666666667
8454,8477,0.5625
8456,8477,0.5625
8463,8477,0.5625
7229,8480,0.6
8454,8480,0.6
8456,8480,0.571428571428571
8477,8480,0.5625
6903,8481,0.56
8413,8481,0.6
4005,8483,0.56
6815,8483,0.56
7320,8483,0.56
8413,8483,0.56
8466,8483,0.56
8481,8483,0.56
8412,8485,0.586206896551724
8413,8485,0.551724137931035
8483,8485,0.586206896551724
3926,8501,0.551724137931035
5911,8501,0.551724137931035
8419,8501,0.612903225806452
8481,8501,0.551724137931035
7308,8503,0.558139534883721
7326,8503,0.621621621621622
7616,8503,0.575757575757576
6903,8511,0.571428571428571
8414,8512,0.565217391304348
7318,8514,0.55
8208,8515,0.590909090909091
8466,8515,0.583333333333333
4902,8530,0.653846153846154
7008,8530,0.555555555555556
7326,8537,0.564102564102564
8532,8542,0.588235294117647
8541,8542,0.5625
1001,8606,0.576923076923077
7616,8607,0.551724137931035
8432,8607,0.551724137931035
4008,8608,0.551724137931035
8607,8608,0.551724137931035
4009,8708,0.6
4016,8708,0.625
5911,8708,0.586206896551724
7320,8708,0.551724137931035
7326,8708,0.567567567567568
7616,8708,0.586206896551724
8409,8708,0.586206896551724
8419,8708,0.580645161290323
8501,8708,0.586206896551724
8511,8708,0.551724137931035
8512,8708,0.586206896551724
8607,8708,0.551724137931035
8711,8712,0.6
8510,8715,0.727272727272727
3820,8716,0.586206896551724
3922,8716,0.612903225806452
8432,8716,0.586206896551724
9011,9022,0.5625
8413,9026,0.56
8481,9026,0.64
8483,9027,0.555555555555556
8516,9028,0.555555555555556
8481,9032,0.56
9101,9102,0.68421052631579
3916,9305,0.571428571428571
8466,9305,0.583333333333333
3925,9401,0.578947368421053
3821,9402,0.565217391304348
8436,9402,0.56
3922,9403,0.555555555555556
3925,9403,0.631578947368421
6401,9403,0.564102564102564
6810,9403,0.555555555555556
7308,9403,0.581395348837209
7604,9403,0.625
9401,9403,0.611111111111111
3925,9406,0.585365853658537
4822,9406,0.634146341463415
7308,9406,0.558139534883721
7309,9406,0.590909090909091
5804,9606,0.555555555555556
8510,9610,0.636363636363636
