from,to,proximity
3816,8428,0.571428571428571
3926,8428,0.571428571428571
3926,8432,0.571428571428571
7322,8432,0.571428571428571
8416,8432,0.571428571428571
8422,8432,0.571428571428571
2919,8444,0.571428571428571
8444,8449,0.571428571428571
8456,8458,0.571428571428571
8207,8462,0.571428571428571
8456,8480,0.571428571428571
6903,8511,0.571428571428571
3916,9305,0.571428571428571
4407,4409,0.568627450980392
1601,4415,0.568627450980392
0401,1601,0.568181818181818
3208,3212,0.568181818181818
1601,3921,0.568181818181818
6103,6112,0.568181818181818
6104,6210,0.568181818181818
6201,6210,0.568181818181818
6204,6210,0.568181818181818
1601,7308,0.568181818181818
1601,7314,0.568181818181818
2105,7314,0.568181818181818
1601,7610,0.568181818181818
2713,2715,0.567567567567568
6111,6201,0.567567567567568
3214,7326,0.567567567567568
3922,7326,0.567567567567568
7326,8708,0.567567567567568
0806,0809,0.566666666666667
4005,4009,0.566666666666667
4008,4009,0.566666666666667
4009,4010,0.566666666666667
1905,4819,0.566666666666667
5204,5807,0.566666666666667
6108,6307,0.566666666666667
6806,8432,0.566666666666667
6107,6211,0.566037735849057
6114,6211,0.566037735849057
6211,6405,0.566037735849057
1704,2005,0.565217391304348
2907,2916,0.565217391304348
2914,2916,0.565217391304348
6114,6206,0.565217391304348
6201,6206,0.565217391304348
6206,6208,0.565217391304348
8402,8404,0.565217391304348
8303,8414,0.565217391304348
8208,8422,0.565217391304348
8416,8422,0.565217391304348
8422,8465,0.565217391304348
8414,8512,0.565217391304348
3821,9402,0.565217391304348
2106,7310,0.564516129032258
1602,4411,0.564102564102564
3921,4822,0.564102564102564
3925,4822,0.564102564102564
4822,4823,0.564102564102564
6112,6115,0.564102564102564
7326,8537,0.564102564102564
6401,9403,0.564102564102564
1904,4819,0.563636363636364
2005,4819,0.563636363636364
3209,4819,0.563636363636364
4415,4819,0.563636363636364
4819,7310,0.563636363636364
1601,3209,0.5625
3209,3214,0.5625
2005,3402,0.5625
2105,3814,0.5625
3209,3814,0.5625
3403,3908,0.5625
4005,4016,0.5625
1004,4301,0.5625
6111,6203,0.5625
6112,6203,0.5625
6203,6210,0.5625
1601,7310,0.5625
3922,7325,0.5625
4008,7325,0.5625
7401,7402,0.5625
4016,8419,0.5625
2912,8441,0.5625
8420,8456,0.5625
7229,8463,0.5625
8456,8463,0.5625
7229,8475,0.5625
8454,8477,0.5625
8456,8477,0.5625
8463,8477,0.5625
8477,8480,0.5625
8541,8542,0.5625
9011,9022,0.5625
7326,8431,0.560975609756098
2106,4707,0.560606060606061
0202,0206,0.56
1001,1205,0.56
0403,1904,0.56
1904,3209,0.56
3506,3904,0.56
3506,3909,0.56
6106,6111,0.56
6106,6112,0.56
6106,6210,0.56
4005,6905,0.56
5503,7312,0.56
8422,8436,0.56
6903,8481,0.56
4005,8483,0.56
6815,8483,0.56
7320,8483,0.56
8413,8483,0.56
8466,8483,0.56
8481,8483,0.56
8413,9026,0.56
8481,9032,0.56
8436,9402,0.56
3004,3808,0.558823529411765
7213,7217,0.558823529411765
0702,0709,0.558139534883721
0709,2001,0.558139534883721
4418,4822,0.558139534883721
4901,4911,0.558139534883721
3214,7308,0.558139534883721
3920,7308,0.558139534883721
3921,7308,0.558139534883721
3922,7308,0.558139534883721
7308,7604,0.558139534883721
3925,7610,0.558139534883721
7604,7610,0.558139534883721
4822,7612,0.558139534883721
7610,8431,0.558139534883721
7308,8503,0.558139534883721
7308,9406,0.558139534883721
3305,4415,0.557692307692308
3305,4821,0.557692307692308
3305,4901,0.557692307692308
0404,0405,0.555555555555556
0702,0807,0.555555555555556
0710,2005,0.555555555555556
0711,2005,0.555555555555556
2008,2009,0.555555555555556
0307,2301,0.555555555555556
1501,3406,0.555555555555556
0101,3502,0.555555555555556
3001,3504,0.555555555555556
1601,3917,0.555555555555556
2103,3917,0.555555555555556
3305,3917,0.555555555555556
3402,3917,0.555555555555556
3917,4818,0.555555555555556
3923,4818,0.555555555555556
3923,4821,0.555555555555556
3820,4902,0.555555555555556
5309,5408,0.555555555555556
5408,5516,0.555555555555556
5408,5801,0.555555555555556
6116,6216,0.555555555555556
6208,6403,0.555555555555556
6209,6403,0.555555555555556
6403,6404,0.555555555555556
6104,6405,0.555555555555556
6110,6405,0.555555555555556
6112,6405,0.555555555555556
6216,6505,0.555555555555556
2843,7107,0.555555555555556
3914,7220,0.555555555555556
7219,7220,0.555555555555556
7220,7222,0.555555555555556
5910,7302,0.555555555555556
3820,7322,0.555555555555556
3820,8436,0.555555555555556
5910,8439,0.555555555555556
5910,8454,0.555555555555556
8417,8454,0.555555555555556
5910,8456,0.555555555555556
5910,8463,0.555555555555556
7008,8530,0.555555555555556
8483,9027,0.555555555555556
8516,9028,0.555555555555556
3922,9403,0.555555555555556
6810,9403,0.555555555555556
5804,9606,0.555555555555556
6102,6111,0.553191489361702
6102,6115,0.553191489361702
6109,6201,0.553191489361702
6109,6208,0.553191489361702
6102,6405,0.553191489361702
3214,3925,0.552631578947369
3921,3925,0.552631578947369
6108,6114,0.552631578947369
6114,6208,0.552631578947369
6112,6403,0.552631578947369
3925,7326,0.552631578947369
0909,2515,0.551724137931035
7007,7008,0.551724137931035
2707,7407,0.551724137931035
7007,7616,0.551724137931035
7008,7616,0.551724137931035
8412,8413,0.551724137931035
7008,8433,0.551724137931035
8433,8436,0.551724137931035
8403,8438,0.551724137931035
8422,8438,0.551724137931035
