country_code,year,region,export_value,import_value,diversity,diversity_075,hhi,entropy,primary_share,manufacturing_share,eci,diversity_complexity
USA,2013,Rest of world,1559191552311,2067547675935,438,609,0.0192632281847793,5.23792576943919,0.190591173845538,0.809408826154462,1.43333757979949,438
USA,2014,Rest of world,1575621616449,2147412921944,425,567,0.0196615378478525,5.22259986918473,0.196073942429946,0.803926057570054,1.40671667338134,425
USA,2015,Rest of world,1464026339092,2037621096518,425,583,0.0198105023840987,5.22692888619377,0.163571076772787,0.836428923227213,1.53692184094128,425
USA,2016,Rest of world,1400205561670,2006756265839,410,561,0.0203244164765042,5.20218657513276,0.164229671967405,0.835770328032595,1.42674478580496,410
USA,2017,Rest of world,1476908488071,2142264395351,417,577,0.0200690822970197,5.17363505427355,0.184191233912742,0.815808766087258,1.40314837956587,417
USA,2018,Rest of world,1600020324291,2342475835228,401,546,0.0208411900128628,5.14377703249138,0.204722592274038,0.795277407725962,1.40074824315435,401
USA,2019,Rest of world,1561566549289,2303857229359,392,529,0.0211106257531557,5.12199979621537,0.212250437567909,0.787749562432091,1.3567554994583,392
USA,2020,Rest of world,1374232505245,2244602053620,396,535,0.0163056286707219,5.21479610652743,0.21905665636859,0.78094334363141,1.35361553975822,396
USA,2021,Rest of world,1702293643337,2740780500267,377,518,0.017061187477604,5.15711312760579,0.245450986186455,0.754549013813545,1.27656094604739,377
USA,2022,Rest of world,1992214438844,3090429355610,372,512,0.0209653754175405,5.01973473980832,0.285253850568292,0.714746149431708,1.36432082123852,372
USA,2023,Rest of world,1952859051832,2956107010573,378,517,0.0212294542281247,5.03149240637125,0.254570414471862,0.745429585528138,1.33031332060151,378
UZB,1995,Rest of world,1582006404,1582867298,42,53,0.355410039492205,1.72387339363786,0.0678907125334241,0.932109287466576,-0.329329809969816,42
UZB,1996,Rest of world,2347955384,3968401029,100,116,0.334215591319263,2.41513969920676,0.153174921657711,0.846825078342289,-0.112294774891716,100
UZB,1997,Rest of world,2492297120,3727476076,75,90,0.298132340323449,2.39742211159697,0.125683187003001,0.874316812997,-0.22197798821981,75
UZB,1998,Rest of world,1618496170,2555925471,90,100,0.34111208964072,2.30386340476882,0.0881546664395258,0.911845333560474,-0.27219764941625,90
UZB,1999,Rest of world,1410138804,1934518290,92,102,0.283577577589375,2.50189464646338,0.146902352032573,0.853097647967427,-0.365328328882721,92
UZB,2000,Rest of world,2610248914,1837954294,101,115,0.154214775344488,2.76535617349487,0.165074233606213,0.834925766393787,-0.502380933175813,101
UZB,2001,Rest of world,2438261796,2086277347,93,105,0.150355975331348,2.70710516538937,0.197093962095611,0.802906037904389,-0.603928619610226,93
UZB,2002,Rest of world,2181801530,1905563720,92,104,0.155582493584327,2.62589371736228,0.128682870160055,0.871317129839945,-0.582847897091367,92
UZB,2003,Rest of world,2691061653,2254855177,89,96,0.143254813517418,2.74715200930083,0.149004313800461,0.850995686199539,-0.542482280248692,89
UZB,2004,Rest of world,3630052645,2830836289,83,94,0.130958619470284,2.84417865739551,0.169460520592533,0.830539479407467,-0.719058331486803,83
UZB,2005,Rest of world,4315381788,3294213973,93,104,0.127249859424508,2.85594584270861,0.210451553678383,0.789548446321617,-0.508186609494729,93
UZB,2006,Rest of world,5184006838,4101036521,80,94,0.114789970238766,2.87390345412621,0.238633071417256,0.761366928582743,-0.698801891269772,80
UZB,2007,Rest of world,6607181145,6377812775,90,100,0.116435122343178,2.88468378986737,0.201602364271186,0.798397635728814,-0.624743704003569,90
UZB,2008,Rest of world,10238230279,9132111024,82,93,0.153160492225433,2.60504411882817,0.271172428763848,0.728827571236152,-0.691293643192772,82
UZB,2009,Rest of world,7034484814,8130065732,83,94,0.170985721498911,2.54129479087514,0.361462979199204,0.638537020800796,-0.907412360827489,83
UZB,2010,Rest of world,5791182411,8309360958,116,136,0.0701107608251349,3.36668458278346,0.284029446711206,0.715970553288794,-0.703836744029673,116
