product_code,product_section,product_chapter,world_export_value,pci_final,ubiquity,product_name,product_name_short,natural_resource,demand_growth,density,opportunity_gain,world_market_size,density_n,pci_n,opportunity_gain_n,world_market_n,demand_growth_n,opportunity_score,distance,opportunity_type
8716,Transport equipment,87,35774507293,0.780297027013984,29,"Trailers and semi-trailers; other vehicles, not mechanically propelled; and parts thereof",Trailers and semi-trailers,FALSE,0.0562753046469677,0.0528509417003629,116.687101035442,35774507293,0.273156002748256,0.595201042897631,0.774989463773129,0.820742383177216,0.683446979955565,0.549821690754201,0.947149058299637,Long shots
8439,Machinery and electrical,84,5867099709,1.40402764220954,15,Machinery for making pulp of fibrous cellulosic material or for making or finishing paper or paperboard (other than the machinery of heading 8419); parts thereof,Machinery for making paper,FALSE,0.0352851358985185,0.0399722980847899,133.53507300386,5867099709,0.168009343237108,0.694347134009614,0.890936111735425,0.727064936099048,0.664837381078116,0.549767507700193,0.96002770191521,Long shots
8436,Machinery and electrical,84,8587705505,0.929615699650301,25,"Other agricultural, horticultural, forestry, poultry-keeping or bee-keeping machinery, including germination plant fitted with mechanical or thermal equipment; poultry incubators and brooders; parts thereof",Other agricultural machinery,FALSE,0.0316741956256363,0.053062076552301,118.779212573716,8587705505,0.274879796421748,0.618936229789618,0.78938723939151,0.746805462104893,0.661635970415149,0.549663577325322,0.946937923447699,Long shots
2940,Chemicals,29,1447795856,1.1511426647301,16,"Sugars, chemically pure, other than sucrose, lactose, maltose, glucose and fructose; sugar ethers, sugar acetals and sugar esters, and their salts, other than products of heading 2937, 2938 or 2939:","Other sugars, chemically pure",FALSE,0.0975327731087765,0.0400137572125206,141.83759305739,1447795856,0.168347832981623,0.654149400553533,0.948073515076967,0.65455741197537,0.720025291829782,0.54953206507786,0.959986242787479,Long shots
8458,Machinery and electrical,84,7387749635,1.77022290754382,13,Lathes (including turning centers) for removing metal,Lathes for removing metal,FALSE,-0.00516901576239615,0.0382574005083448,127.948669689401,7387749635,0.154008198632956,0.75255628433363,0.85249084724358,0.73900666904015,0.628971278982452,0.549337904855919,0.961742599491655,Long shots
3921,Plastics and rubber,39,30275713710,0.703186025302019,38,"Other plates, sheets, film, foil and strip, of plastics","Other plastic plates, sheets etc.",FALSE,0.0286119976261796,0.0580503598437089,109.907936720195,30275713710,0.315606237842378,0.58294374108301,0.728335695603767,0.812094772610234,0.658921067208026,0.548966841618165,0.941949640156291,Long shots
8477,Machinery and electrical,84,30156304282,1.70284821816458,16,"Machinery for working rubber or plastics or for the manufacture of products from these materials, not specified or included elsewhere in this chapter; parts thereof",Machinery for working rubber or plastics,FALSE,0.0222679220214015,0.0352604953114197,128.453025833461,30156304282,0.129540204973497,0.741846633517883,0.855961793443669,0.811890001493489,0.653296495835209,0.548511738541798,0.96473950468858,Long shots
7616,Metals,76,21651705365,0.564886377285264,29,Other articles of aluminum,Other articles of aluminum,FALSE,0.0364536224125316,0.0539014117102545,122.915390107039,21651705365,0.281732481432951,0.560960100759815,0.817852144322781,0.794722746044701,0.665873345370737,0.548476431697587,0.946098588289746,Long shots
9001,Instruments,90,28696187616,1.12998642176504,24,"Optical fibers and optical fiber bundles; optical fiber cables other than those of heading 8544; sheets and plates of polarizing material; lenses (including contact lenses), prisms, mirrors and other optical elements, of any material, unmounted, other tha",Optical fibers,FALSE,-0.00530616719375954,0.0479560895814138,120.448064880167,28696187616,0.233192372689714,0.650786476333527,0.800872172488498,0.809318371725273,0.628849682383886,0.548305189433397,0.952043910418586,Long shots
8515,Machinery and electrical,85,12280034634,1.12668293177491,22,"Electric (including electrically heated gas), laser or other light or photon beam, ultrasonic, electron beam, magnetic pulse or plasma arc soldering, brazingor welding machines and apparatus, whether or not capable of cutting; electric machines and appara",Electric soldering machines,FALSE,0.0117973373725879,0.0446124806648206,129.534350092035,12280034634,0.205893744139551,0.650261364832552,0.863403396704699,0.76533721643342,0.644013417520692,0.548243894393332,0.955387519335179,Long shots
4010,Plastics and rubber,40,6424818562,0.982495790161195,27,"Conveyor or transmission belts or belting, of vulcanized rubber",Conveyor belts of vulcanized rubber,FALSE,0.0240789417282346,0.0508577416319318,122.341550505543,6424818562,0.256882679625975,0.627341868608805,0.813903017485071,0.731770271288056,0.654902121340521,0.548192247781164,0.949142258368068,Long shots
8484,Machinery and electrical,84,4733188389,1.00780595127629,26,"Gaskets and similar joints of metal sheeting combined with other material or of two or more layers of metal; sets or assortments of gaskets and similar joints, dissimilar in composition, put up in pouches, envelopes or similar packings; mechanical seals",Gaskets and similar joints of metal sheeting,FALSE,0.0382480953734841,0.0495973918242675,124.287000135747,4733188389,0.246592654057508,0.631365085489363,0.827291475385195,0.715936790867376,0.667464300755611,0.547947104531806,0.950402608175733,Long shots
8516,Machinery and electrical,85,60830424513,0.801919142110046,26,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electrothermic hairdressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; elect",Electric heaters,FALSE,0.0539620306468769,0.0524695102414808,113.54764890294,60830424513,0.270041835998163,0.598638020562541,0.753383958262786,0.848249313754701,0.681396062607008,0.547815477028721,0.947530489758519,Long shots
