"product_code","product_name_short","product_section","product_chapter","pci_final","ubiquity","density","opportunity_score","relative_category"
"1001","Wheat and meslin","Vegetable products","10","-0.199450606022009","25","0.0744181587497999","0.52495638036217","Incremental extensions"
"1003","Barley","Vegetable products","10","0.0653686123559834","21","0.0670843453547772","0.517664169442858","Incremental extensions"
"1004","Oats","Vegetable products","10","0.0101379733984892","16","0.0593920139539177","0.470004906123165","Middle-range candidates"
"1005","Corn","Vegetable products","10","-1.05263062767728","24","0.0868624156204428","0.500995566174065","Incremental extensions"
"101","101","Unknown","","","","","","Network only"
"105","105","Unknown","","","","","","Network only"
"1103","Cereal meals","Vegetable products","11","-0.94625107545867","49","0.081876962910712","0.471129502266934","Incremental extensions"
"1104","1104","Vegetable products","11","-0.863103259257169","47","","","Network only"
"1205","Rape or colza seeds","Vegetable products","12","-0.163116598844597","19","0.067478044860148","0.479080983321564","Incremental extensions"
"1501","Pig and poultry fat, rendered","Fats and oils","15","0.146540673810987","26","0.0607409592410519","0.515653075426199","Middle-range candidates"
"1509","Olive oil","Fats and oils","15","-0.731410279267652","16","0.0694736390756695","0.437451679247061","Incremental extensions"
"1510","Olive oil, blended","Fats and oils","15","-0.692009679635183","12","0.059718209825865","0.395907617125599","Middle-range candidates"
"1601","Sausages","Foodstuffs","16","0.175924355021962","44","0.0650156318336211","0.519019638782109","Middle-range candidates"
"1602","1602","Foodstuffs","16","-0.129195392444793","39","","","Network only"
"1605","Prepared aquatic invertibrates","Foodstuffs","16","-1.48373534992978","48","0.0842440219888513","0.430848562654","Incremental extensions"
"1704","Confectionery sugar","Foodstuffs","17","-0.51672645519071","46","0.0756852984915143","0.494858164152166","Incremental extensions"
"1803","Cocoa paste","Foodstuffs","18","-0.737407662181117","17","0.0559953377968517","0.428816431394614","Middle-range candidates"
"1804","Cocoa butter","Foodstuffs","18","-1.24494550343051","20","0.0716357444404774","0.427784825423687","Incremental extensions"
"1805","Cocoa powder","Foodstuffs","18","-0.405468566393561","20","0.0629371663003955","0.465696861787407","Middle-range candidates"
"1806","Chocolates","Foodstuffs","18","0.296844925682269","42","0.0627802714653451","0.527519866107252","Middle-range candidates"
"1901","Malt extract","Foodstuffs","19","-0.323751862802835","41","0.0717399922677141","0.495561521515154","Excluded from relative universe"
"1904","Cereal foods","Foodstuffs","19","-0.496182312547758","50","0.0716804548292391","0.488433829134411","Incremental extensions"
"1905","Bakery products","Foodstuffs","19","-0.201669392464295","60","0.0714551803329398","0.512937004129864","Incremental extensions"
"2001","Pickled fruits and vegetables","Foodstuffs","20","-0.757678099798017","41","0.0717025271478272","0.458779713779601","Incremental extensions"
"2005","Other vegetables, prepared or preserved","Foodstuffs","20","-0.784470635342321","45","0.0735000322513037","0.472801437917909","Incremental extensions"
"2007","Jams, jellies and marmalades","Foodstuffs","20","-0.526341028588735","49","0.0769630168954088","0.48382191511314","Incremental extensions"
"2008","2008","Foodstuffs","20","-1.08162064329229","63","","","Network only"
"2009","Fruit juices","Foodstuffs","20","-0.749459435680335","62","0.0862627222621554","0.477411955593297","Incremental extensions"
"201","201","Unknown","","","","","","Network only"
"202","202","Unknown","","","","","","Network only"
"203","203","Unknown","","","","","","Network only"
"206","206","Unknown","","","","","","Network only"
"209","209","Unknown","","","","","","Network only"
"2103","Sauces and seasonings","Foodstuffs","21","-0.246848217894683","50","0.0729404422863643","0.507651146001686","Incremental extensions"
"2105","Ice cream","Foodstuffs","21","-0.0952127609681422","44","0.0680398786604708","0.504084857122439","Incremental extensions"
"2106","Food preparations n.e.c.","Foodstuffs","21","0.109072563063153","62","0.0662774202256805","0.515201277716086","Excluded from relative universe"
"2301","Flours of fish, for animal feed","Foodstuffs","23","-1.54067342730946","54","0.0975462895883823","0.471016672518825","Incremental extensions"
"2515","Marble","Minerals","25","-1.31517754024139","28","0.0751624421055233","0.414007987656008","Incremental extensions"
"2528","2528","Minerals","25","-0.952040080115236","12","","","Network only"
"2607","2607","Minerals","26","-1.46178678151455","30","","","Network only"
"2608","2608","Minerals","26","-1.64169547312391","32","","","Network only"
"2707","Oils etc. from high temperature coal tar","Minerals","27","0.52800235222193","27","0.0494887786731318","0.539490480201513","Middle-range candidates"
"2713","Petroleum coke","Minerals","27","-0.902585188435249","37","0.082950380128813","0.475160874761322","Incremental extensions"
"2715","Bituminous mixtures","Minerals","27","-0.884756636491263","37","0.0765172540570554","0.441291981696072","Incremental extensions"
"2716","Electrical energy","Minerals","27","-0.48116297032079","55","0.0727110177661648","0.512431873216621","Incremental extensions"
"2810","2810","Chemicals","28","-1.01194472024093","11","","","Network only"
"2812","Halides of nonmetals","Chemicals","28","1.85320946786368","6","0.0288820609928967","0.45626123667397","Middle-range candidates"
"2843","Compounds of precious metals","Chemicals","28","1.72932765745091","9","0.0388588437748388","0.508923694322021","Middle-range candidates"
"2902","Cyclic hydrocarbons","Chemicals","29","0.675360098828002","16","0.0460624579265237","0.476305891963959","Middle-range candidates"
"2903","Halogenated derivatives of hydrocarbons","Chemicals","29","0.946797449033151","12","0.037136788981557","0.482907466795698","Transformational long shots"
"2907","Phenols, phenol-alcohols","Chemicals","29","1.0666478057471","20","0.0493499398041852","0.531910898988132","Transformational long shots"
"2912","Aldehydes","Chemicals","29","1.43188611985315","15","0.0388403581887545","0.544746581624615","Transformational long shots"
"2913","Derivatives of aldehydes","Chemicals","29","1.12077136732247","6","0.0372659089098177","0.421547925291165","Excluded from relative universe"
"2914","Ketones and quinones","Chemicals","29","1.5569685651751","19","0.0402446731717849","0.559270709728173","Excluded from relative universe"
"2916","Unsaturated acyclic monocarboxylic acids","Chemicals","29","0.834025578006763","23","0.046536387520591","0.529429506437839","Transformational long shots"
"2919","Phosporic esters","Chemicals","29","1.90380057213349","7","0.0296138372733929","0.480839034780452","Middle-range candidates"
"2920","Esters of other inorganic acids of nonmetals","Chemicals","29","1.56101024178088","13","0.0370556058716279","0.522874150648075","Transformational long shots"
"2921","Amine-function compounds","Chemicals","29","1.28158922238548","17","0.0401506587697249","0.543400249141577","Transformational long shots"
"2925","Carboxyimide-function compounds","Chemicals","29","0.842191504369616","14","0.0381271740824194","0.494982716075323","Transformational long shots"
"2926","Nitrile-function compounds","Chemicals","29","1.5433533640497","12","0.0344587217180733","0.511290840084045","Transformational long shots"
"2927","Diazo-, azo-, or azoxy-compounds","Chemicals","29","1.27462697880809","7","0.0336848273122742","0.420167906334138","Middle-range candidates"
"2928","Organix derivatives of hydrazine","Chemicals","29","0.78639912043805","8","0.038002822207756","0.444255617054153","Middle-range candidates"
"2931","Other organo-inorganic compounds","Chemicals","29","1.73802709400842","12","0.0338887808359907","0.519300352559499","Transformational long shots"
"2933","Heterocyclic compounds with nitrogen hetero-atom(s) only","Chemicals","29","0.955030326590622","14","0.0438561045122703","0.489456812759671","Middle-range candidates"
"2934","Nucleic acids and their salts","Chemicals","29","1.17470817785905","13","0.0392118101395963","0.497726357189535","Middle-range candidates"
"2935","Sulfonamides","Chemicals","29","0.902152693025652","11","0.0448757703239404","0.442513206694347","Middle-range candidates"
